index,author,tweet,label,polarity,nouns
1,@ZakariaDekow,mia khalifa trying to get magic johnson to cough up the cure for HIV,Positive,0.5,['mia khalifa', 'magic johnson', 'hiv']
2,@dhurt2x,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
3,@juicekodak,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
4,@b2ori,Mia Khalifa got HIV? She's being punished by God for that hijabi threesome with step mom video,Neutral,0.0,['mia khalifa', 'hiv', 'god', 'hijabi threesome', 'step mom video']
5,@soamazingthing,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
6,@yadavrajnish761,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
7,@Realantionship1,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
8,@patanjalirishi2,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
9,@SumanKu06046771,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
10,@ranilikes,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
11,@rajsonu0096,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
12,@socrazy_people,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
13,@mrslovelykumari,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
14,@quito_osho,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
15,@onlytwet,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
16,@textporns,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
17,@web_work_,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
18,@RoseBautiful,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
19,@raviraj9504a,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
20,@RitikaSarma1,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
21,@storyoffact,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
22,@RajhavRajiv,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
23,@rajhavraj,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
24,@rani22_usha,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
25,@rajhav_kumar,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
26,@pritendparents,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
27,@Puls56898910,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
28,@oment__raj,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
29,@racer_a2,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
30,@quito_girl,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
31,@Ohgod780Hero,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
32,@masivethoughts,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
33,@ofunnyname,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
34,@vibhuvibhu57,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
35,@Truelovf,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
36,@surajhindustan3,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
37,@thingsofact,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
38,@thefunnysposts,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
39,@tdayrichard,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
40,@sofunnyname,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
41,@socrazyname,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
42,@sourfunny,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
43,@shrutidarling2,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
44,@rockstaropen,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
45,@sanojisla123,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
46,@porantext_,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
47,@PALL_RANI,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
48,@porantext,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
49,@ruhiraj11,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
50,@rock_the_party_,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
51,@porantexts,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
52,@prabhat20682140,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
53,@premranjan00091,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
54,@pihu950,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
55,@pappuku32831597,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
56,@nauleshkumarsin,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
57,@Mylikestweet1,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
58,@mykaljackson42,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
59,@mrs_lovelysingh,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
60,@mithlesh__,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
61,@Monti_dudu,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
62,@mindconsole_,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
63,@mewisepost,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
64,@mannara13,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
65,@Mayank100k,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
66,@lovesecret0401,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
67,@mahimarani21,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
68,@MaclenTaco,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
69,@loveraj_lucky,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
70,@lover9504,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
71,@marrigold5,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
72,@lovezone_,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
73,@fuunny_world,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
74,@lets_tweet01,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
75,@kumarkush2001,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
76,@lovelifeline_,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
77,@islifelove5,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
78,@lovee2diee,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
79,@letap1211,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
80,@darlingbaba2,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
81,@islifelove1,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
82,@krishanabhavan2,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
83,@justfallin_love,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
84,@jhongovindbaba1,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
85,@lovepoint09,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
86,@Locman10,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
87,@islifelove6,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
88,@Lovebird386,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
89,@fancy_boy_,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
90,@Lays16708974,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
91,@Justinl12321926,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
92,@laurel9504,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
93,@just_lovforever,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
94,@khaitan_fan,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
95,@justin_beber12,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
96,@googlep21387615,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
97,@joy_reacher,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
98,@janvi_gupta_,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
99,@jaimatarani1,Hottest Photos of Star Mia,Neutral,0.0,['hottest photos', 'mia']
